Epoch 1/100 | Loss: 1350.59 | Recon: 1110.67 | KL: 479.84
Epoch 2/100 | Loss: 863.21 | Recon: 652.51 | KL: 421.40
Epoch 3/100 | Loss: 768.27 | Recon: 564.23 | KL: 408.07
Epoch 4/100 | Loss: 722.54 | Recon: 518.77 | KL: 407.55
Epoch 5/100 | Loss: 698.95 | Recon: 494.47 | KL: 408.97
Epoch 6/100 | Loss: 682.78 | Recon: 478.19 | KL: 409.18
Epoch 7/100 | Loss: 670.48 | Recon: 466.21 | KL: 408.53
Epoch 8/100 | Loss: 660.77 | Recon: 456.45 | KL: 408.65
Epoch 9/100 | Loss: 651.84 | Recon: 448.18 | KL: 407.33
Epoch 10/100 | Loss: 644.86 | Recon: 441.49 | KL: 406.75
Epoch 11/100 | Loss: 639.00 | Recon: 435.66 | KL: 406.67
Epoch 12/100 | Loss: 634.00 | Recon: 430.78 | KL: 406.44
Epoch 13/100 | Loss: 629.88 | Recon: 426.48 | KL: 406.80
Epoch 14/100 | Loss: 625.03 | Recon: 421.93 | KL: 406.18
Epoch 15/100 | Loss: 621.76 | Recon: 418.59 | KL: 406.33
Epoch 16/100 | Loss: 618.66 | Recon: 415.30 | KL: 406.72
Epoch 17/100 | Loss: 615.44 | Recon: 412.25 | KL: 406.38
Epoch 18/100 | Loss: 612.67 | Recon: 409.63 | KL: 406.08
Epoch 19/100 | Loss: 610.21 | Recon: 407.06 | KL: 406.29
Epoch 20/100 | Loss: 607.54 | Recon: 404.50 | KL: 406.07
Epoch 21/100 | Loss: 605.72 | Recon: 402.79 | KL: 405.84
Epoch 22/100 | Loss: 603.59 | Recon: 400.23 | KL: 406.73
Epoch 23/100 | Loss: 601.78 | Recon: 398.33 | KL: 406.90
Epoch 24/100 | Loss: 599.69 | Recon: 396.21 | KL: 406.95
Epoch 25/100 | Loss: 598.21 | Recon: 394.92 | KL: 406.56
Epoch 26/100 | Loss: 596.51 | Recon: 393.03 | KL: 406.97
Epoch 27/100 | Loss: 594.32 | Recon: 391.09 | KL: 406.46
Epoch 28/100 | Loss: 593.20 | Recon: 389.79 | KL: 406.82
